backbone,dataset,initial,full,gain_pp,relative_full_initial_100
GPT-5.3-codex,HumanEval,98.4733,99.2366,0.7633,100.775134
GPT-5.3-codex,MBPP,80.3519,80.6452,0.2933,100.365019
GPT-5.3-codex,GSM8K,97.1564,97.2512,0.0948,100.097575
GPT-5.3-codex,MATH,76.3374,77.7778,1.4404,101.886886
GPT-5.3-codex,HotpotQA,74.9298,75.1048,0.1750,100.233552
GPT-5.3-codex,DROP,85.8762,86.0012,0.1250,100.145558
GPT-5.4-mini,HumanEval,96.9466,97.7099,0.7633,100.787341
GPT-5.4-mini,MBPP,78.8856,79.1789,0.2933,100.371804
GPT-5.4-mini,GSM8K,96.3033,96.3981,0.0948,100.098439
GPT-5.4-mini,MATH,87.8601,88.0658,0.2057,100.234122
GPT-5.4-mini,HotpotQA,77.7279,78.1957,0.4678,100.601843
GPT-5.4-mini,DROP,84.8542,84.9376,0.0834,100.098286
Gemini-3.6-flash,HumanEval,100.0000,100.0000,0.0000,100.000000
Gemini-3.6-flash,MBPP,81.5249,82.1114,0.5865,100.719412
Gemini-3.6-flash,GSM8K,97.5355,97.8199,0.2844,100.291586
Gemini-3.6-flash,MATH,91.9753,92.1811,0.2058,100.223756
Gemini-3.6-flash,HotpotQA,81.1608,81.3049,0.1441,100.177549
Gemini-3.6-flash,DROP,90.1680,90.4180,0.2500,100.277260
Grok-4.5,HumanEval,98.4733,99.2366,0.7633,100.775134
Grok-4.5,MBPP,83.8710,84.1642,0.2932,100.349584
Grok-4.5,GSM8K,97.2512,97.4408,0.1896,100.194959
Grok-4.5,MATH,90.9465,91.1523,0.2058,100.226287
Grok-4.5,HotpotQA,78.3585,78.4626,0.1041,100.132851
Grok-4.5,DROP,91.8817,92.0067,0.1250,100.136045
Qwen3-4B,HumanEval,77.8626,78.7786,0.9160,101.176431
Qwen3-4B,MBPP,63.9296,64.2229,0.2933,100.458786
Qwen3-4B,GSM8K,89.1943,89.3839,0.1896,100.212570
Qwen3-4B,MATH,62.9630,63.1687,0.2057,100.326700
Qwen3-4B,HotpotQA,73.7294,73.7349,0.0055,100.007460
Qwen3-4B,DROP,77.3106,78.3939,1.0833,101.401231
Qwen3.5-9B,HumanEval,84.7328,85.4962,0.7634,100.900950
Qwen3.5-9B,MBPP,70.0880,71.2610,1.1730,101.673610
Qwen3.5-9B,GSM8K,94.7867,94.8815,0.0948,100.100014
Qwen3.5-9B,MATH,87.6543,87.8601,0.2058,100.234786
Qwen3.5-9B,HotpotQA,75.7433,76.3499,0.6066,100.800863
Qwen3.5-9B,DROP,83.7694,83.9569,0.1875,100.223829
